date;value
2020-05-30;9330.0
2020-05-31;9380.0
2020-06-01;
2020-06-02;9300.0
2020-06-03;9310.9
2020-06-04;9465.0
2020-06-05;9537.9
2020-06-06;9527.4
2020-06-07;9386.6
2020-06-08;9626.8
2020-06-09;9560.3
2020-06-10;9680.0
2020-06-11;9090.5
2020-06-12;9234.0
2020-06-13;9353.8
2020-06-14;9230.6
2020-06-15;8905.0
2020-06-16;9385.0
2020-06-17;9233.4
2020-06-18;9268.2
2020-06-19;9219.9
2020-06-20;9165.0
2020-06-21;
2020-06-22;9275.0
2020-06-23;9575.8
2020-06-24;9200.0
2020-06-25;8992.4
2020-06-26;9028.6
2020-06-27;8812.8
2020-06-28;8937.5
2020-06-29;9013.0
2020-06-30;9061.3
2020-07-01;9094.2
2020-07-02;8935.6
2020-07-03;9041.4
2020-07-04;9044.9
2020-07-05;8915.1
2020-07-06;9065.2
2020-07-07;9204.1
2020-07-08;
2020-07-09;9155.2
2020-07-10;9125.0
2020-07-11;9186.4
2020-07-12;9161.5
2020-07-13;9195.7
2020-07-14;9095.0
2020-07-15;9155.1
2020-07-16;9021.7
2020-07-17;9078.5
2020-07-18;9123.0
2020-07-19;9111.1
2020-07-20;9131.5
2020-07-21;9157.29999
2020-07-22;
2020-07-23;9460.0
2020-07-24;9480.0
2020-07-25;9540.9
2020-07-26;9666.7
2020-07-27;9937.1
2020-07-28;10588.0
2020-07-29;10852.2
2020-07-30;10828.8
2020-07-31;10980.0
2020-08-01;11239.4
2020-08-02;10590.0
2020-08-03;10827.9
2020-08-04;11028.5
2020-08-05;11099.2
2020-08-06;11579.3
2020-08-07;11350.0
2020-08-08;11540.0
2020-08-09;11532.5
2020-08-10;11535.5
2020-08-11;11133.0
2020-08-12;11163.0
2020-08-13;11269.0
2020-08-14;11658.5
2020-08-15;11675.0
2020-08-16;11701.0
2020-08-17;11775.0
2020-08-18;11807.7
2020-08-19;11569.4
2020-08-20;11675.0
2020-08-21;11500.0
2020-08-22;11350.0
2020-08-23;11525.2
2020-08-24;
2020-08-25;11120.0
2020-08-26;11251.7
2020-08-27;11128.4
2020-08-28;11283.8
2020-08-29;11408.1
2020-08-30;11469.0
2020-08-31;11580.0
2020-09-01;11532.8
2020-09-02;11187.0
2020-09-03;10025.0
2020-09-04;9914.6
2020-09-05;9856.3
2020-09-06;10010.0
2020-09-07;9877.6
2020-09-08;
2020-09-09;9983.2
2020-09-10;10227.5
2020-09-11;10210.0
2020-09-12;10280.0
2020-09-13;10217.2
2020-09-14;10251.2
2020-09-15;10620.0
2020-09-16;10670.2
2020-09-17;10750.3
2020-09-18;10818.0
2020-09-19;10898.9
2020-09-20;10766.2
2020-09-21;10300.0
2020-09-22;10362.8
2020-09-23;10134.6
2020-09-24;10192.4
2020-09-25;10565.0
2020-09-26;10662.2
2020-09-27;10600.0
2020-09-28;10640.0
2020-09-29;10645.0
2020-09-30;10670.0
2020-10-01;10451.0
2020-10-02;
2020-10-03;10504.1
2020-10-04;10531.2
2020-10-05;10632.0
2020-10-06;10527.0
2020-10-07;10552.6
2020-10-08;10540.0
2020-10-09;10842.0
2020-10-10;11060.1
2020-10-11;11262.0
2020-10-12;11202.9
2020-10-13;11315.0
2020-10-14;11300.0
2020-10-15;11255.3
2020-10-16;11207.0
2020-10-17;11254.6
2020-10-18;11355.7
2020-10-19;11416.6
2020-10-20;11678.8
2020-10-21;
2020-10-22;12690.5
2020-10-23;12735.0
2020-10-24;12890.7
2020-10-25;12833.0
2020-10-26;12801.0
2020-10-27;13064.0
2020-10-28;12900.0
2020-10-29;12975.0
2020-10-30;13131.0
2020-10-31;13425.5
2020-11-01;13634.6
2020-11-02;13218.3
2020-11-03;13305.0
2020-11-04;13540.7
2020-11-05;14120.1
2020-11-06;15177.0
2020-11-07;14365.0
2020-11-08;14726.6
2020-11-09;
2020-11-10;15100.0
2020-11-11;15300.0
2020-11-12;15425.3
2020-11-13;15980.6
2020-11-14;15735.0
2020-11-15;15801.0
2020-11-16;15884.3
2020-11-17;16569.5
2020-11-18;17200.0
2020-11-19;17369.0
2020-11-20;17780.0
2020-11-21;18333.0
2020-11-22;17620.0
2020-11-23;18005.0
2020-11-24;18069.7
2020-11-25;18425.1
2020-11-26;16210.0
2020-11-27;
2020-11-28;16871.1
2020-11-29;17525.0
2020-11-30;16660.0
2020-12-01;18111.0
2020-12-02;18347.1
2020-12-03;18851.9
2020-12-04;18561.6
2020-12-05;18511.0
2020-12-06;18857.8
2020-12-07;18900.0
2020-12-08;18120.0
2020-12-09;17649.9
2020-12-10;17911.1
2020-12-11;17572.0
2020-12-12;18024.0
2020-12-13;18712.6
2020-12-14;19002.0
2020-12-15;19048.9
2020-12-16;19302.4
2020-12-17;21264.4
2020-12-18;
2020-12-19;22800.0
2020-12-20;23084.9
2020-12-21;21885.6
2020-12-22;22354.2
2020-12-23;22629.2
2020-12-24;22723.0
2020-12-25;23410.8
2020-12-26;24500.0
2020-12-27;25634.6
2020-12-28;26056.4
2020-12-29;25850.0
2020-12-30;27346.0
2020-12-31;27844.0
2021-01-01;28672.3
2021-01-02;29028.7
2021-01-03;32002.0
2021-01-04;27920.0
2021-01-05;29910.5
2021-01-06;33373.4
2021-01-07;
2021-01-08;36618.0
2021-01-09;38765.2
2021-01-10;34875.0
2021-01-11;30302.0
2021-01-12;32416.8
2021-01-13;32349.9
2021-01-14;36676.6
2021-01-15;34371.0
2021-01-16;35342.2
2021-01-17;33850.0
2021-01-18;34754.5
2021-01-19;35900.0
2021-01-20;33374.0
2021-01-21;30056.1
2021-01-22;28800.0
2021-01-23;31350.0
2021-01-24;30950.0
2021-01-25;31908.7
2021-01-26;30816.2
2021-01-27;29255.0
2021-01-28;29900.0
2021-01-29;
2021-01-30;32865.2
2021-01-31;32200.0
2021-02-01;32325.3
2021-02-02;33462.1
2021-02-03;35394.8
2021-02-04;36202.0
2021-02-05;36582.9
2021-02-06;38221.4
2021-02-07;37410.5
2021-02-08;38075.0
2021-02-09;45050.0
2021-02-10;43734.8
2021-02-11;44046.2
2021-02-12;46263.0
2021-02-13;46285.0
2021-02-14;47038.7
2021-02-15;45710.5
2021-02-16;
2021-02-17;48967.4
2021-02-18;50904.2
2021-02-19;50683.4
2021-02-20;53961.9
2021-02-21;55490.5
2021-02-22;45002.0
2021-02-23;45000.0
2021-02-24;47015.7
2021-02-25;46702.0
2021-02-26;44120.3
2021-02-27;45022.9
2021-02-28;43020.0
2021-03-01;45046.8
2021-03-02;47050.2
2021-03-03;48160.0
2021-03-04;
2021-03-05;46312.0
2021-03-06;47111.9
2021-03-07;48905.9
2021-03-08;49368.0
2021-03-09;51875.0
2021-03-10;53051.0
2021-03-11;54286.3
2021-03-12;55040.2
2021-03-13;56073.2
2021-03-14;59001.0
2021-03-15;54593.8
2021-03-16;52500.0
2021-03-17;53752.0
